...1,No_Die,Ox_Chamber,process,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,Lot_Num,Wafer_Num,Datetime
88,NOLSM359148,1,Oxidation,wet,1091.6092027,H2O,35.15,0.211,-6,703.879,14,8,02-03-2021
89,NOLSM360149,2,Oxidation,dry,1006.2138273,O2,41.81,0.195,146,708.76,14,9,02-03-2021
90,NOLSM3611410,2,Oxidation,wet,1162.2238035,H2O,32.99,0.221,90,699.764,14,10,02-03-2021
91,NOLSM3621411,2,Oxidation,wet,1054.550286,H2O,29.68,0.186,95,703.084,14,11,02-03-2021
92,NOLSM3631412,2,Oxidation,dry,1104.8475756,O2,30.09,0.195,115,697.441,14,12,02-03-2021
93,NOLSM3641413,2,Oxidation,wet,1105.2587858,H2O,45.75,0.211,56,709.507,14,13,02-03-2021
94,NOLSM3651414,2,Oxidation,wet,1176.5400752,H2O,21.07,0.213,107,709.609,14,14,02-03-2021
95,NOLSM3661415,2,Oxidation,wet,1028.7882029,H2O,32.17,0.211,44,714.056,14,15,02-03-2021
96,NOLSM3671416,2,Oxidation,dry,1123.4658621,O2,29.66,0.211,99,721.666,14,16,02-03-2021
97,NOLSM3681417,2,Oxidation,wet,1064.7034586,H2O,41.58,0.213,214,701.383,14,17,02-03-2021
98,NOLSM3691418,3,Oxidation,wet,1103.9829043,H2O,40.55,0.214,152,720.58,14,18,02-03-2021
99,NOLSM3701419,3,Oxidation,dry,1053.9157973,O2,32.73,0.203,104,710.123,14,19,02-03-2021
100,NOLSM3711420,3,Oxidation,dry,1028.3486076,O2,36.93,0.227,75,707.342,14,20,02-03-2021
101,NOLSM3721421,3,Oxidation,dry,1046.2354985,O2,36.8,0.224,118,699.524,14,21,02-03-2021
102,NOLSM3731422,3,Oxidation,wet,1219.3871237,H2O,35.97,0.203,127,689.684,14,22,02-03-2021
103,NOLSM3741423,3,Oxidation,wet,1139.5729454,H2O,38.57,0.214,100,699.636,14,23,02-03-2021
104,NOLSM3751424,3,Oxidation,dry,1268.9219328,O2,23.7,0.216,156,715.142,14,24,02-03-2021
105,NOLSM3761425,1,Oxidation,wet,1050.490445,H2O,33.22,0.193,117,726.612,14,25,02-03-2021
106,NOLSM3771426,1,Oxidation,wet,1080.0871284,H2O,31.04,0.194,128,710.886,14,26,02-03-2021
107,NOLSM3781427,1,Oxidation,wet,998.89265611,H2O,33.45,0.211,168,714.473,14,27,02-03-2021
108,NOLSM379151379,2,Oxidation,dry,1102.5628617,O2,39.27,0.217,135,687.582,15,28,03-03-2021
109,NOLSM380152380,2,Oxidation,dry,1091.2951968,O2,35.16,0.216,93,715.034,15,29,03-03-2021
110,NOLSM381153381,2,Oxidation,wet,1144.1475253,H2O,31.99,0.22,103,695.458,15,30,03-03-2021
111,NOLSM382154382,2,Oxidation,wet,970.19734541,H2O,45.08,0.205,87,705.094,15,31,03-03-2021
112,NOLSM383155383,2,Oxidation,wet,976.9096318,H2O,43.66,0.22,103,706.963,15,32,03-03-2021
113,NOLSM384156384,2,Oxidation,dry,1134.4961548,O2,26.92,0.196,121,726.396,15,33,03-03-2021
114,NOLSM385157385,2,Oxidation,wet,1172.7642683,H2O,31.95,0.202,115,712.17,15,34,03-03-2021
115,NOLSM386158386,2,Oxidation,dry,983.98868441,O2,38.88,0.212,129,715.453,15,35,03-03-2021
116,NOLSM387159387,2,Oxidation,dry,1087.6315314,O2,32.8,0.202,118,710.526,15,36,03-03-2021
117,NOLSM3881510388,2,Oxidation,dry,1158.4683487,O2,31.86,0.204,149,703.333,15,37,03-03-2021
118,NOLSM3891511389,2,Oxidation,dry,977.32318361,O2,39.51,0.201,71,704.586,15,38,03-03-2021
119,NOLSM3901512390,2,Oxidation,dry,1003.0859328,O2,32.88,0.207,86,711.111,15,39,03-03-2021
120,NOLSM3911513391,2,Oxidation,wet,1120.8296348,H2O,38.11,0.211,157,707.715,15,40,03-03-2021
121,NOLSM3921514392,2,Oxidation,wet,951.20676658,H2O,39.93,0.199,74,717.885,15,41,03-03-2021
122,NOLSM3931515393,2,Oxidation,wet,1047.6102301,H2O,35.63,0.218,112,713.608,15,42,03-03-2021
123,NOLSM3941516394,2,Oxidation,dry,1143.1527426,O2,28.6,0.194,103,712.692,15,43,03-03-2021
124,NOLSM3951517395,2,Oxidation,wet,1025.049013,H2O,34.58,0.212,198,714.415,15,44,03-03-2021
125,NOLSM3961518396,2,Oxidation,wet,1253.3738212,H2O,34.95,0.212,22,715.404,15,45,03-03-2021
126,NOLSM3971519397,2,Oxidation,wet,1099.4510373,H2O,32.59,0.206,87,713.132,15,46,03-03-2021
127,NOLSM3981520398,2,Oxidation,wet,1103.3832809,H2O,38.02,0.208,66,714.295,15,47,03-03-2021
128,NOLSM3991521399,2,Oxidation,dry,1108.1617047,O2,33.81,0.212,118,710.114,15,48,03-03-2021
129,NOLSM4001522400,2,Oxidation,dry,1259.2834487,O2,29.05,0.207,177,710.617,15,49,03-03-2021
130,NOLSM4011523401,2,Oxidation,dry,1203.9208344,O2,49.91,0.203,70,711.632,15,50,03-03-2021
131,NOLSM4021524402,2,Oxidation,dry,1051.6532298,O2,32.47,0.215,145,710.084,15,51,03-03-2021
132,NOLSM4031525403,2,Oxidation,wet,1186.6448883,H2O,32.82,0.207,74,715.033,15,52,03-03-2021
133,NOLSM4041526404,2,Oxidation,wet,926.46567857,H2O,36.66,0.192,75,707.538,15,53,03-03-2021
134,NOLSM4051527405,2,Oxidation,dry,1190.7600703,O2,35.44,0.211,108,700.719,15,54,03-03-2021
135,NOLSM379151,1,Oxidation,dry,1083.9834116,O2,39.27,0.217,135,687.582,15,1,03-03-2021
136,NOLSM380152,1,Oxidation,dry,1086.5661869,O2,35.16,0.216,93,715.034,15,2,03-03-2021
137,NOLSM381153,1,Oxidation,wet,1134.1455588,H2O,31.99,0.22,103,695.458,15,3,03-03-2021
138,NOLSM382154,1,Oxidation,wet,965.9786545,H2O,45.08,0.205,87,705.094,15,4,03-03-2021
139,NOLSM383155,1,Oxidation,wet,973.95603302,H2O,43.66,0.22,103,706.963,15,5,03-03-2021
140,NOLSM384156,2,Oxidation,dry,1130.7697162,O2,26.92,0.196,121,726.396,15,6,03-03-2021
141,NOLSM385157,2,Oxidation,wet,1158.4319555,H2O,31.95,0.202,115,712.17,15,7,03-03-2021
142,NOLSM386158,2,Oxidation,dry,979.65096504,O2,38.88,0.212,129,715.453,15,8,03-03-2021
143,NOLSM387159,2,Oxidation,dry,1080.6594251,O2,34.22,0.202,118,710.526,15,9,03-03-2021
144,NOLSM3881510,2,Oxidation,dry,1151.8702036,O2,41.86,0.204,149,703.333,15,10,03-03-2021
145,NOLSM3891511,2,Oxidation,dry,957.76693303,O2,37.63,0.201,71,704.586,15,11,03-03-2021
146,NOLSM3901512,2,Oxidation,dry,994.59147935,O2,31.62,0.207,86,711.111,15,12,03-03-2021
147,NOLSM3911513,2,Oxidation,wet,1109.5569414,H2O,39.16,0.211,157,707.715,15,13,03-03-2021
148,NOLSM3921514,3,Oxidation,wet,946.9847745,H2O,30.39,0.199,74,717.885,15,14,03-03-2021
149,NOLSM3931515,3,Oxidation,wet,1035.8374174,H2O,32.41,0.218,112,719.155,15,15,03-03-2021
150,NOLSM3941516,3,Oxidation,dry,1123.5352347,O2,32.09,0.194,103,708.835,15,16,03-03-2021
151,NOLSM3951517,3,Oxidation,wet,1008.6959216,H2O,28.58,0.212,198,702.21,15,17,03-03-2021
152,NOLSM3961518,3,Oxidation,wet,1245.4052478,H2O,29.14,0.212,22,716.603,15,18,03-03-2021
153,NOLSM3971519,3,Oxidation,wet,1086.8511323,H2O,35.67,0.206,87,703.77,15,19,03-03-2021
154,NOLSM3981520,3,Oxidation,wet,1088.4632984,H2O,33.59,0.208,66,717.257,15,20,03-03-2021
155,NOLSM3991521,3,Oxidation,dry,1107.0418661,O2,32.59,0.212,118,719.257,15,21,03-03-2021
156,NOLSM4001522,1,Oxidation,dry,1253.4212156,O2,35.13,0.207,177,688.973,15,22,03-03-2021
157,NOLSM4011523,1,Oxidation,dry,1193.1780915,O2,34.26,0.203,70,709.629,15,23,03-03-2021
158,NOLSM4021524,1,Oxidation,dry,1045.6681153,O2,29.21,0.215,145,708.401,15,24,03-03-2021
159,NOLSM4031525,1,Oxidation,wet,1178.5072009,H2O,49.17,0.207,74,715.033,15,25,03-03-2021
160,NOLSM4041526,1,Oxidation,wet,923.5846197,H2O,37.17,0.192,75,707.538,15,26,03-03-2021
161,NOLSM4051527,1,Oxidation,dry,1171.3522331,O2,29.45,0.211,108,700.719,15,27,03-03-2021
162,NOLSM406161406,3,Oxidation,dry,991.61355284,O2,31.82,0.2,144,699.27,16,28,04-03-2021
163,NOLSM407162407,3,Oxidation,wet,1220.2851445,H2O,31.5,0.194,125,715.864,16,29,04-03-2021
164,NOLSM408163408,3,Oxidation,dry,886.56267924,O2,40.05,0.217,45,731.855,16,30,04-03-2021
165,NOLSM409164409,3,Oxidation,dry,977.29358829,O2,30.73,0.201,101,708.933,16,31,04-03-2021
166,NOLSM410165410,3,Oxidation,wet,1049.9185994,H2O,29.77,0.204,165,727.813,16,32,04-03-2021
167,NOLSM411166411,3,Oxidation,dry,1081.5452967,O2,33.67,0.204,191,715.571,16,33,04-03-2021
168,NOLSM412167412,3,Oxidation,dry,993.65698717,O2,31.86,0.2,145,711.227,16,34,04-03-2021
169,NOLSM413168413,3,Oxidation,wet,1094.4023142,H2O,37.22,0.199,181,700.922,16,35,04-03-2021
170,NOLSM414169414,3,Oxidation,dry,1004.4542893,O2,26.54,0.203,201,704.243,16,36,04-03-2021
171,NOLSM4151610415,3,Oxidation,wet,1058.2548488,H2O,33.08,0.204,79,698.757,16,37,04-03-2021
172,NOLSM4161611416,3,Oxidation,wet,900.80448243,H2O,38.04,0.189,59,689.56,16,38,04-03-2021
173,NOLSM4171612417,3,Oxidation,dry,1019.5577266,O2,23.54,0.218,89,689.098,16,39,04-03-2021
174,NOLSM4181613418,3,Oxidation,wet,1203.2120094,H2O,36.26,0.214,162,708.735,16,40,04-03-2021
175,NOLSM4191614419,3,Oxidation,dry,1206.6058035,O2,40.93,0.219,31,704.397,16,41,04-03-2021
176,NOLSM4201615420,3,Oxidation,wet,1056.8663584,H2O,33.96,0.213,119,709.226,16,42,04-03-2021
177,NOLSM4211616421,3,Oxidation,wet,1111.4079793,H2O,34.52,0.201,96,705.135,16,43,04-03-2021
178,NOLSM4221617422,3,Oxidation,wet,1185.2546352,H2O,33.22,0.204,154,715.384,16,44,04-03-2021
179,NOLSM4231618423,3,Oxidation,wet,1001.3759238,H2O,42.84,0.207,105,713.258,16,45,04-03-2021
180,NOLSM4241619424,3,Oxidation,dry,1098.2451458,O2,38.09,0.202,92,704.106,16,46,04-03-2021
181,NOLSM4251620425,3,Oxidation,dry,1055.6097109,O2,37.47,0.206,101,710.163,16,47,04-03-2021
182,NOLSM4261621426,3,Oxidation,dry,977.62478007,O2,28.8,0.209,157,706.425,16,48,04-03-2021
183,NOLSM4271622427,3,Oxidation,wet,996.49753546,H2O,36.83,0.218,150,712.521,16,49,04-03-2021
184,NOLSM4281623428,3,Oxidation,dry,1094.9634705,O2,39.89,0.197,152,704.964,16,50,04-03-2021
185,NOLSM4291624429,3,Oxidation,dry,1126.9653062,O2,39.79,0.21,76,704.293,16,51,04-03-2021
186,NOLSM4301625430,3,Oxidation,dry,1043.9870457,O2,38.44,0.213,72,703.974,16,52,04-03-2021
187,NOLSM4311626431,3,Oxidation,dry,1241.0956642,O2,41.16,0.187,76,717.389,16,53,04-03-2021
188,NOLSM4321627432,3,Oxidation,dry,1066.9486993,O2,37.65,0.208,15,713.608,16,54,04-03-2021
189,NOLSM406161,1,Oxidation,dry,988.75237674,O2,31.82,0.206,144,699.27,16,1,04-03-2021
190,NOLSM407162,1,Oxidation,wet,1219.7771187,H2O,31.5,0.213,125,715.864,16,2,04-03-2021
191,NOLSM408163,2,Oxidation,dry,871.21747171,O2,40.05,0.21,45,731.855,16,3,04-03-2021
192,NOLSM409164,2,Oxidation,dry,964.76519082,O2,30.73,0.202,101,708.933,16,4,04-03-2021
193,NOLSM410165,2,Oxidation,wet,1044.9237171,H2O,29.77,0.202,165,727.813,16,5,04-03-2021
194,NOLSM411166,2,Oxidation,dry,1070.2316349,O2,33.67,0.207,191,715.571,16,6,04-03-2021
195,NOLSM412167,2,Oxidation,dry,979.53605998,O2,31.86,0.214,145,711.227,16,7,04-03-2021
196,NOLSM413168,2,Oxidation,wet,1077.0747113,H2O,37.22,0.2,181,700.922,16,8,04-03-2021
197,NOLSM414169,2,Oxidation,dry,1002.1648959,O2,26.54,0.205,201,704.243,16,9,04-03-2021
198,NOLSM4151610,2,Oxidation,wet,1053.2793223,H2O,33.08,0.22,79,698.757,16,10,04-03-2021
199,NOLSM4161611,2,Oxidation,wet,883.86054607,H2O,38.04,0.2,59,689.56,16,11,04-03-2021
200,NOLSM4171612,3,Oxidation,dry,1011.9568912,O2,23.54,0.207,89,689.098,16,12,04-03-2021
201,NOLSM4181613,3,Oxidation,wet,1196.7805485,H2O,36.26,0.214,162,708.735,16,13,04-03-2021
202,NOLSM4191614,3,Oxidation,dry,1191.2654075,O2,40.93,0.219,31,704.397,16,14,04-03-2021
203,NOLSM4201615,3,Oxidation,wet,1042.761316,H2O,33.96,0.213,119,709.226,16,15,04-03-2021
204,NOLSM4211616,3,Oxidation,wet,1096.3834908,H2O,34.52,0.201,96,705.135,16,16,04-03-2021
205,NOLSM4221617,3,Oxidation,wet,1178.7448193,H2O,33.22,0.204,154,715.384,16,17,04-03-2021
206,NOLSM4231618,3,Oxidation,wet,984.50194091,H2O,42.84,0.207,105,713.258,16,18,04-03-2021
207,NOLSM4241619,3,Oxidation,dry,1091.0068597,O2,38.09,0.202,92,704.106,16,19,04-03-2021
208,NOLSM4251620,1,Oxidation,dry,1049.2063452,O2,37.47,0.206,101,710.163,16,20,04-03-2021
209,NOLSM4261621,1,Oxidation,dry,972.01371761,O2,28.8,0.209,157,706.425,16,21,04-03-2021
210,NOLSM4271622,1,Oxidation,wet,984.63759243,H2O,36.83,0.218,150,712.521,16,22,04-03-2021
211,NOLSM4281623,1,Oxidation,dry,1085.2850112,O2,39.89,0.197,152,704.964,16,23,04-03-2021
212,NOLSM4291624,1,Oxidation,dry,1126.0509287,O2,39.79,0.21,76,704.293,16,24,04-03-2021
213,NOLSM4301625,1,Oxidation,dry,1043.3064266,O2,38.44,0.213,72,703.974,16,25,04-03-2021
214,NOLSM4311626,1,Oxidation,dry,1223.7010226,O2,41.16,0.187,76,717.389,16,26,04-03-2021
215,NOLSM4321627,1,Oxidation,dry,1049.7396482,O2,37.65,0.208,15,694.251,16,27,04-03-2021
216,NOLSM433171433,3,Oxidation,wet,1061.2735593,H2O,40.92,0.205,36,712.692,17,28,05-03-2021
217,NOLSM434172434,3,Oxidation,dry,1209.0889896,O2,30.34,0.203,50,714.415,17,29,05-03-2021
218,NOLSM435173435,3,Oxidation,dry,1078.1583472,O2,34.53,0.202,152,715.404,17,30,05-03-2021
219,NOLSM436174436,3,Oxidation,wet,1054.263752,H2O,30.03,0.194,128,713.132,17,31,05-03-2021
220,NOLSM437175437,3,Oxidation,dry,1065.1770483,O2,35.89,0.196,184,714.295,17,32,05-03-2021
221,NOLSM438176438,3,Oxidation,dry,1080.2619633,O2,38.25,0.194,87,710.114,17,33,05-03-2021
222,NOLSM439177439,3,Oxidation,dry,959.07937743,O2,34.68,0.205,135,710.617,17,34,05-03-2021
223,NOLSM440178440,3,Oxidation,wet,994.89574875,H2O,33.83,0.224,69,711.632,17,35,05-03-2021
224,NOLSM441179441,3,Oxidation,dry,1186.454003,O2,32.8,0.219,140,710.084,17,36,05-03-2021
225,NOLSM4421710442,3,Oxidation,wet,1032.829261,H2O,31.86,0.208,156,702.48,17,37,05-03-2021
226,NOLSM4431711443,3,Oxidation,dry,1228.3124359,O2,39.51,0.221,179,699.443,17,38,05-03-2021
227,NOLSM4441712444,3,Oxidation,dry,1111.0930606,O2,32.88,0.196,94,732.934,17,39,05-03-2021
228,NOLSM4451713445,3,Oxidation,dry,1194.6367117,O2,38.11,0.204,117,698.408,17,40,05-03-2021
229,NOLSM4461714446,3,Oxidation,dry,1199.0391863,O2,39.93,0.198,127,703.065,17,41,05-03-2021
230,NOLSM4471715447,3,Oxidation,wet,1024.3098722,H2O,35.63,0.194,101,704.971,17,42,05-03-2021
231,NOLSM4481716448,3,Oxidation,dry,1279.5080991,O2,28.6,0.206,145,720.692,17,43,05-03-2021
232,NOLSM4491717449,3,Oxidation,dry,1148.8560711,O2,34.58,0.198,103,716.015,17,44,05-03-2021
233,NOLSM4501718450,3,Oxidation,wet,1136.4762291,H2O,34.95,0.18,129,716.476,17,45,05-03-2021
234,NOLSM4511719451,3,Oxidation,dry,1097.8605843,O2,32.59,0.217,133,714.01,17,46,05-03-2021
235,NOLSM4521720452,3,Oxidation,dry,1193.047503,O2,38.02,0.195,146,717.093,17,47,05-03-2021
236,NOLSM4531721453,3,Oxidation,dry,875.37417976,O2,33.81,0.195,56,703.906,17,48,05-03-2021
237,NOLSM4541722454,3,Oxidation,wet,1067.9509356,H2O,29.05,0.196,112,699.474,17,49,05-03-2021
238,NOLSM4551723455,3,Oxidation,dry,1030.9471825,O2,49.91,0.212,181,699.373,17,50,05-03-2021
239,NOLSM4561724456,3,Oxidation,dry,1124.2759222,O2,32.47,0.199,118,690.935,17,51,05-03-2021
240,NOLSM4571725457,3,Oxidation,dry,1100.7442063,O2,32.82,0.213,154,716.105,17,52,05-03-2021
