...1,No_Die,photo_soft_Chamber,process 2,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Lot_Num,Wafer_Num,Datetime
25,NOLSM3501326350,1,Photo,1.67261,14.217,14.917,19.995,196.614,90.001,505.745,4078.04,5011.823,4.986,91.892,30.006,13,53,01-03-2021
26,NOLSM3511327351,1,Photo,1.20795,15.818,15.039,19.998,202.174,89.999,494.887,4011.312,4985.691,5.07,94.156,30.005,13,54,01-03-2021
27,NOLSM325131,3,Photo,1.46994,14.06,15.006,20.001,200.551,90.001,503.63,4010.591,4903.611,5.02,91.918,30.005,13,1,01-03-2021
28,NOLSM326132,1,Photo,0.86579,13.693,15.059,19.993,199.835,89.999,502.354,4042.427,4979.082,4.937,90.976,30.005,13,2,01-03-2021
29,NOLSM327133,1,Photo,0.90483,15.221,14.93,19.995,202.118,90.001,504.103,4025.856,5031.989,4.888,91.969,30.006,13,3,01-03-2021
30,NOLSM328134,1,Photo,0.42197,19.114,14.947,20.004,194.668,90,502.088,4144.57,4969.316,4.933,91.458,30.001,13,4,01-03-2021
31,NOLSM329135,2,Photo,1.70139,14.942,14.82,19.998,202.192,90,498.167,4049.729,5092.407,5.05,94.723,29.988,13,5,01-03-2021
32,NOLSM330136,2,Photo,0.69888,12.958,14.997,20,197.199,90,500.9,4030.187,4946.249,4.945,91.069,30.003,13,6,01-03-2021
33,NOLSM331137,2,Photo,0.85768,17.886,14.978,19.999,202.194,90,502.255,4126.143,5060.506,5.117,88.719,29.995,13,7,01-03-2021
34,NOLSM332138,3,Photo,0.45409,13.268,14.919,20,202.532,90,503.99,3902.474,5113.826,5.021,92.617,30.002,13,8,01-03-2021
35,NOLSM333139,3,Photo,1.36775,15.335,15.013,19.999,200.458,90.001,504.46,3995.181,4942.826,5.051,91.588,29.989,13,9,01-03-2021
36,NOLSM3341310,3,Photo,0.82933,12.201,15.01,20.002,202.963,89.999,499.481,4135.365,5111.433,5.102,92.888,29.997,13,10,01-03-2021
37,NOLSM3351311,1,Photo,1.51697,13.009,14.889,19.997,199.4,89.999,497.891,4041.284,4982.75,4.989,90.241,30.002,13,11,01-03-2021
38,NOLSM3361312,1,Photo,0.83835,14.145,14.952,20,204.41,89.999,504.626,4052.219,5036.152,4.997,94.758,29.998,13,12,01-03-2021
39,NOLSM3371313,1,Photo,1.22796,13.379,15.072,20,198.818,90.002,503.298,4029.315,5156.979,4.959,90.49,29.998,13,13,01-03-2021
40,NOLSM3381314,2,Photo,1.52203,13.022,14.979,20.006,201.674,90,496.152,4088.413,5019.57,4.9,93.958,30.005,13,14,01-03-2021
41,NOLSM3391315,2,Photo,1.52932,13.366,14.849,20,202.289,90.001,502.637,4062.197,5085.989,4.864,92.418,30.009,13,15,01-03-2021
42,NOLSM3401316,2,Photo,1.16778,15.909,15.074,19.997,200.249,90.001,499.361,4088.406,5101.54,5.04,93.136,30.001,13,16,01-03-2021
43,NOLSM3411317,3,Photo,1.29164,14.085,15.067,19.994,199.309,90,503.635,4043.081,5057.66,4.89,91.247,30.005,13,17,01-03-2021
44,NOLSM3421318,3,Photo,1.20773,12.352,15.05,20.004,199.911,90,505.191,4054.055,4892.47,5.031,90.587,30.003,13,18,01-03-2021
45,NOLSM3431319,3,Photo,1.19261,15.651,15.089,19.994,198.866,90,501.018,3988.812,5005.117,4.957,92.169,30.01,13,19,01-03-2021
46,NOLSM3441320,1,Photo,1.24523,16.552,14.965,20.001,199.816,90,500.181,3983.693,5029.168,4.936,90.845,30.005,13,20,01-03-2021
47,NOLSM3451321,1,Photo,1.5879,15.616,15.09,19.994,203.987,90.001,497.838,4015.481,4993.499,4.987,93.328,30.002,13,21,01-03-2021
48,NOLSM3461322,2,Photo,1.60777,16.681,15.063,20.003,196.125,90.001,502.747,3973.891,4974.61,5.008,92.743,29.999,13,22,01-03-2021
49,NOLSM3471323,2,Photo,1.23906,18.582,15.116,19.998,204.725,90,498.724,4082.609,5036.144,5.064,91.218,30.01,13,23,01-03-2021
50,NOLSM3481324,2,Photo,0.70056,16.129,15.034,20.007,197.381,90,502.034,4101.095,5013.425,4.925,94.13,29.985,13,24,01-03-2021
51,NOLSM3491325,3,Photo,0.55934,18.547,14.925,20.004,196.756,90,506.502,4074.474,4974.847,5.037,94.773,29.993,13,25,01-03-2021
52,NOLSM3501326,3,Photo,1.67261,14.217,14.994,19.995,196.614,90.001,494.901,4078.04,5011.823,4.986,91.892,29.996,13,26,01-03-2021
53,NOLSM3511327,3,Photo,1.20795,15.818,15.001,19.998,202.174,89.999,496.237,4011.312,4985.691,5.07,94.156,30.001,13,27,01-03-2021
54,NOLSM352141352,2,Photo,1.15412,15.735,15.109,19.997,196.472,90.001,504.231,4114.543,5041.776,5.064,89.556,30.009,14,28,02-03-2021
55,NOLSM353142353,2,Photo,0.89269,11.919,15.018,19.993,199.099,89.999,500.053,4001.361,4993.428,4.975,91.388,30,14,29,02-03-2021
56,NOLSM354143354,2,Photo,1.4453,15.074,14.927,20.003,198.167,90,500.402,4054.534,4885.56,5.004,90.966,29.995,14,30,02-03-2021
57,NOLSM355144355,2,Photo,0.976,16.041,15.184,20.002,201.002,90,494.976,3957.086,5029.16,4.924,88.854,30.001,14,31,02-03-2021
58,NOLSM356145356,2,Photo,1.63851,15.929,14.935,19.999,199.47,90.001,499.243,4087.957,4989.254,4.871,91.973,30.002,14,32,02-03-2021
59,NOLSM357146357,2,Photo,1.44384,12.411,14.838,20.003,202.924,90,501.188,4025.484,5066.833,4.981,92.494,30.011,14,33,02-03-2021
60,NOLSM358147358,2,Photo,1.20187,14.619,15.22,19.995,200.215,90,493.336,4036.876,5042.424,4.991,93.321,29.997,14,34,02-03-2021
61,NOLSM359148359,2,Photo,0.81159,23.573,14.935,19.999,199.296,90,497.313,4014.071,5048.689,4.971,92.586,30.003,14,35,02-03-2021
62,NOLSM360149360,2,Photo,2.07859,14.626,15.012,19.998,200.903,90.001,499.243,3985.686,4929.412,4.942,90.423,29.999,14,36,02-03-2021
63,NOLSM3611410361,2,Photo,1.44358,20.181,15.014,19.992,197.129,89.999,503.782,4047.541,5081.64,4.92,91.662,30.002,14,37,02-03-2021
64,NOLSM3621411362,2,Photo,0.71546,18.517,14.955,20,194.871,90.001,501.948,3955.393,5052.778,4.827,95.818,29.998,14,38,02-03-2021
65,NOLSM3631412363,2,Photo,0.43355,15.859,15.007,20.003,200.988,90,499.28,4062.804,4922.209,5.069,94.12,30.011,14,39,02-03-2021
66,NOLSM3641413364,2,Photo,1.64049,17.367,14.926,20.002,198.279,90.001,500.637,4071.633,4978.139,5.026,96.346,30.005,14,40,02-03-2021
67,NOLSM3651414365,2,Photo,1.42928,16.09,14.993,20.01,198.93,90.001,499.941,3985.677,5152.543,5.017,91.356,29.995,14,41,02-03-2021
68,NOLSM3661415366,2,Photo,1.12362,19.026,14.968,19.999,194.99,90.001,501.817,3978.724,4975.303,4.894,92.106,30.007,14,42,02-03-2021
69,NOLSM3671416367,2,Photo,1.62494,18.891,15.02,20.001,196.546,89.999,502.391,4056.014,5114.927,5.079,92.607,30.005,14,43,02-03-2021
70,NOLSM3681417368,2,Photo,1.18246,13.788,15.016,20,204.524,90.001,507.183,4029.12,5086.284,5.036,92.352,30.006,14,44,02-03-2021
71,NOLSM3691418369,2,Photo,1.22609,18.771,15.05,20.003,204.897,89.999,501.286,3971.194,4934.74,5.099,92.718,29.999,14,45,02-03-2021
72,NOLSM3701419370,2,Photo,1.81419,20.701,15.026,19.999,200.324,90.001,503.396,4035.394,5084.315,5.053,92.956,29.992,14,46,02-03-2021
73,NOLSM3711420371,2,Photo,1.89693,11.253,15.009,19.999,200.37,90.001,501.423,3952.67,5002.849,4.951,89.927,29.99,14,47,02-03-2021
74,NOLSM3721421372,2,Photo,1.72027,15.286,15.075,20.004,199.046,90.001,501.079,3972.34,5074.901,5.032,92.197,30.006,14,48,02-03-2021
75,NOLSM3731422373,2,Photo,0.96161,12.463,14.995,20.003,195.75,90,501.572,4017.144,5009.249,5.019,92.601,30.007,14,49,02-03-2021
76,NOLSM3741423374,2,Photo,1.48912,19.767,14.994,20.011,203.761,90,497.102,4072.913,4976.357,5.107,92.525,30.003,14,50,02-03-2021
77,NOLSM3751424375,2,Photo,0.94868,16.029,15.102,19.996,203.281,90,500.154,4084.939,4888.342,4.969,89.185,30.007,14,51,02-03-2021
78,NOLSM3761425376,2,Photo,0.83591,17.587,14.946,19.999,205.722,90.001,501.394,4045.078,4953.646,4.98,93.687,29.989,14,52,02-03-2021
79,NOLSM3771426377,2,Photo,1.36943,16.445,15.017,19.995,200.63,90,496.487,4010.176,4883.349,5.029,92.148,30.005,14,53,02-03-2021
80,NOLSM3781427378,2,Photo,1.92633,14.419,14.995,19.994,199.008,90.001,501.655,4000.075,5049.738,5.036,92.629,30.001,14,54,02-03-2021
81,NOLSM352141,1,Photo,1.15412,15.735,15.038,19.997,196.472,90.001,500.239,4114.543,5041.776,5.064,89.556,29.998,14,1,02-03-2021
82,NOLSM353142,1,Photo,0.89269,11.919,15.163,19.993,199.099,89.999,502.524,4101.984,4993.428,4.975,91.388,29.995,14,2,02-03-2021
83,NOLSM354143,1,Photo,1.4453,15.074,14.927,20.003,198.167,90,500.916,4020.285,4885.56,5.004,90.966,30.002,14,3,02-03-2021
84,NOLSM355144,2,Photo,0.976,16.041,15.184,20.002,201.002,90,501.131,4034.549,5029.16,4.924,88.854,30.001,14,4,02-03-2021
85,NOLSM356145,2,Photo,1.63851,15.929,14.935,19.999,199.47,90.001,503.194,4040.679,4989.254,4.871,91.973,30.014,14,5,02-03-2021
86,NOLSM357146,2,Photo,1.44384,12.411,14.838,20.003,202.924,90,508.904,4068.631,5066.833,4.981,92.494,29.991,14,6,02-03-2021
87,NOLSM358147,3,Photo,1.20187,14.619,15.22,19.995,200.215,90,501.318,4003.644,5042.424,4.991,93.321,29.998,14,7,02-03-2021
88,NOLSM359148,3,Photo,0.81159,23.573,14.935,19.999,199.296,90,497.313,4011.264,5048.689,4.971,92.586,30.008,14,8,02-03-2021
89,NOLSM360149,1,Photo,2.07859,14.626,15.012,19.998,200.903,90.001,499.243,4016.503,4929.412,4.942,90.423,29.999,14,9,02-03-2021
90,NOLSM3611410,1,Photo,1.44358,20.181,15.014,19.992,197.129,89.999,503.782,4058.777,5081.64,4.92,91.662,30.003,14,10,02-03-2021
91,NOLSM3621411,1,Photo,0.71546,18.517,14.955,20,194.871,90.001,501.948,3993.512,5052.778,4.827,95.818,29.997,14,11,02-03-2021
92,NOLSM3631412,2,Photo,0.43355,15.859,15.007,20.003,200.988,90,499.28,4077.424,4922.209,5.069,94.12,30.004,14,12,02-03-2021
93,NOLSM3641413,2,Photo,1.64049,19.567,14.926,20.002,198.279,90.001,500.637,4114.82,4978.139,5.026,96.346,30.005,14,13,02-03-2021
94,NOLSM3651414,2,Photo,1.42928,15.652,14.993,20.01,198.93,90.001,499.941,3983.69,5152.543,5.017,91.356,29.995,14,14,02-03-2021
95,NOLSM3661415,3,Photo,0.55004,16.187,14.968,19.999,194.99,90.001,504.54,4009.363,4975.303,4.894,92.106,30.007,14,15,02-03-2021
96,NOLSM3671416,3,Photo,1.59194,15.266,15.02,20.001,196.546,89.999,496.005,4023.505,5114.927,5.079,92.607,30.005,14,16,02-03-2021
97,NOLSM3681417,3,Photo,1.74268,17.671,15.016,20,204.524,90.001,499.323,3945.323,5086.284,5.036,92.352,30.006,14,17,02-03-2021
98,NOLSM3691418,1,Photo,1.21401,11.039,15.05,20.003,204.897,89.999,504.316,3963.253,4934.74,5.099,92.718,29.999,14,18,02-03-2021
99,NOLSM3701419,1,Photo,1.14974,16.201,15.026,19.999,200.324,90.001,499.187,3951.412,5084.315,5.053,92.956,29.992,14,19,02-03-2021
100,NOLSM3711420,1,Photo,1.94708,13.677,15.009,19.999,200.37,90.001,497.169,4033.769,5002.849,4.951,89.927,29.99,14,20,02-03-2021
101,NOLSM3721421,2,Photo,0.52209,14.114,15.075,20.004,199.046,90.001,500.705,4020.946,5074.901,5.032,92.197,30.006,14,21,02-03-2021
102,NOLSM3731422,2,Photo,1.94749,15.49,14.995,20.003,195.75,90,504.863,4009.634,5009.249,5.019,92.601,30.007,14,22,02-03-2021
103,NOLSM3741423,3,Photo,1.31097,15.798,14.994,20.011,203.761,90,499.691,4005.473,4976.357,5.107,92.525,30.003,14,23,02-03-2021
104,NOLSM3751424,3,Photo,1.3299,14.76,15.102,19.996,203.281,90,499.201,4011.123,4888.342,4.969,89.185,30.007,14,24,02-03-2021
105,NOLSM3761425,1,Photo,1.46602,14.056,14.946,19.999,205.722,90.001,500.928,3925.007,4953.646,4.98,93.687,29.989,14,25,02-03-2021
106,NOLSM3771426,1,Photo,0.61556,16.103,15.017,19.995,200.63,90,502.327,3984.715,4883.349,5.029,92.148,30.005,14,26,02-03-2021
107,NOLSM3781427,1,Photo,0.72735,14.419,14.995,19.994,199.008,90.001,500.256,4000.075,5049.738,5.036,92.629,30.001,14,27,02-03-2021
108,NOLSM379151379,3,Photo,1.41846,13.457,14.976,20.002,204.335,90,495.986,4099.44,4950.89,5.097,92.703,30.002,15,28,03-03-2021
109,NOLSM380152380,3,Photo,0.67979,15.465,15.088,20.001,198.499,89.999,500.442,4023.089,5061.575,5.09,94.048,29.991,15,29,03-03-2021
110,NOLSM381153381,3,Photo,0.73422,16.149,15.099,20,200.086,90,502.263,4100.556,4995.798,5.018,94.479,29.995,15,30,03-03-2021
111,NOLSM382154382,3,Photo,1.81419,15.371,14.875,19.994,199.382,90.001,503.423,4028.083,4922.502,5.175,93.882,30.005,15,31,03-03-2021
112,NOLSM383155383,3,Photo,1.89693,17.047,15.004,20.001,201.67,90,498.509,4018.664,5123.695,4.903,90.418,29.997,15,32,03-03-2021
113,NOLSM384156384,3,Photo,1.72027,17.544,14.916,19.994,204.08,89.998,495.402,4071.649,5006.693,4.964,93.432,29.996,15,33,03-03-2021
114,NOLSM385157385,3,Photo,0.96161,14.894,15.036,19.998,199.805,90.001,494.517,4144.454,5026.875,4.855,92.454,29.998,15,34,03-03-2021
115,NOLSM386158386,3,Photo,1.48912,16.547,14.902,20.001,202.474,90.001,498.307,4044.066,4870.596,4.901,90.264,30.001,15,35,03-03-2021
116,NOLSM387159387,3,Photo,0.94868,17.035,15.011,19.997,200.748,90.001,505.859,3959.744,5034.989,5.007,92.187,30.006,15,36,03-03-2021
117,NOLSM3881510388,3,Photo,0.83591,16.608,14.97,20.005,200.693,90,502.416,3949.569,4999.225,5.083,89.245,30.009,15,37,03-03-2021
118,NOLSM3891511389,3,Photo,1.36943,20.397,14.917,20.001,200.197,90.001,502.749,4035.688,5015.675,5.035,90.886,30.01,15,38,03-03-2021
119,NOLSM3901512390,3,Photo,1.92633,16.973,15.039,19.999,200.635,90,502.125,3939.275,5034.262,5.012,91.989,29.994,15,39,03-03-2021
120,NOLSM3911513391,3,Photo,1.41846,13.518,15.109,19.993,199.632,89.999,499.319,3999.733,4981.02,5.03,93.257,30.004,15,40,03-03-2021
121,NOLSM3921514392,3,Photo,0.67979,15.955,15.018,19.995,206.842,89.999,505.745,3979.526,4978.657,5.007,90.466,30.008,15,41,03-03-2021
122,NOLSM3931515393,3,Photo,0.73422,15.675,14.976,19.994,202.786,90.001,494.887,4095.857,4958.651,4.905,92.047,30.001,15,42,03-03-2021
123,NOLSM3941516394,3,Photo,0.94868,15.554,14.97,20.004,195.963,89.999,504.231,4043.758,4926.446,5.027,91.822,29.997,15,43,03-03-2021
124,NOLSM3951517395,3,Photo,1.26436,14.521,14.928,20,198.182,90,500.053,3977.556,5105.645,5.001,91.144,30.007,15,44,03-03-2021
125,NOLSM3961518396,3,Photo,1.8256,15.932,15.079,19.994,200.311,90.001,500.402,4040.937,5036.638,4.885,92.019,30.013,15,45,03-03-2021
126,NOLSM3971519397,3,Photo,1.10259,12.731,14.968,19.997,200.34,90.001,494.976,4012.77,5035.87,5.037,93.691,30,15,46,03-03-2021
127,NOLSM3981520398,3,Photo,1.83466,15.444,15.001,19.996,196.437,89.999,499.243,4065.392,5054.543,4.935,90.95,29.991,15,47,03-03-2021
128,NOLSM3991521399,3,Photo,1.32112,11.805,15.081,20.005,199.032,89.999,501.188,4086.597,4924.687,4.915,89.285,29.998,15,48,03-03-2021
129,NOLSM4001522400,3,Photo,0.43567,17.367,15.058,20.005,198.274,90.002,493.336,4080.489,5064.639,5.125,89.914,30.015,15,49,03-03-2021
130,NOLSM4011523401,3,Photo,0.60662,16.09,14.84,20.001,200.855,90,498.381,4061.964,5037.031,4.973,92.887,29.998,15,50,03-03-2021
131,NOLSM4021524402,3,Photo,1.24908,19.026,15.014,20.001,201.824,90,501.805,4021.992,4937.455,5.048,92.212,29.999,15,51,03-03-2021
132,NOLSM4031525403,3,Photo,2.39432,18.891,14.965,20.003,196.67,90.001,501.189,3996.754,5110.695,4.996,89.499,30.012,15,52,03-03-2021
133,NOLSM4041526404,3,Photo,1.11835,13.788,14.905,19.992,201.909,89.999,498.351,4074.165,4971.304,5.076,89.4,30.001,15,53,03-03-2021
134,NOLSM4051527405,3,Photo,1.3273,18.771,14.968,19.996,200.435,90,501.817,4078.065,4942.679,5.037,92.228,29.998,15,54,03-03-2021
135,NOLSM379151,2,Photo,1.39488,13.457,14.976,20.002,204.335,90,500.084,4099.44,4950.89,5.097,92.703,30.002,15,1,03-03-2021
136,NOLSM380152,2,Photo,1.67084,15.465,15.088,20.001,198.499,89.999,497.564,4023.089,5061.575,5.09,94.048,29.991,15,2,03-03-2021
137,NOLSM381153,2,Photo,1.14555,16.149,15.099,20,200.086,90,503.137,4100.556,4995.798,5.018,94.479,29.995,15,3,03-03-2021
138,NOLSM382154,3,Photo,1.08432,15.371,14.875,19.994,199.382,90.001,500.042,4028.083,4922.502,5.175,93.882,30.005,15,4,03-03-2021
139,NOLSM383155,3,Photo,1.3867,17.047,15.004,20.001,201.67,90,503,4018.664,5123.695,4.903,90.418,29.997,15,5,03-03-2021
140,NOLSM384156,1,Photo,1.41685,17.544,14.916,19.994,204.08,89.998,502.353,4071.649,5006.693,4.964,93.432,29.996,15,6,03-03-2021
141,NOLSM385157,1,Photo,1.71849,14.894,15.036,19.998,199.805,90.001,496.88,4144.454,5026.875,4.855,92.454,29.998,15,7,03-03-2021
142,NOLSM386158,2,Photo,0.78457,16.547,14.902,20.001,202.474,90.001,500.851,4044.066,4870.596,4.901,90.264,30.001,15,8,03-03-2021
143,NOLSM387159,2,Photo,2.14897,17.035,15.011,19.997,200.748,90.001,496.918,3959.744,5034.989,5.007,92.187,30.006,15,9,03-03-2021
144,NOLSM3881510,2,Photo,1.17901,16.608,14.998,20.005,200.693,90,499.623,3949.569,4999.225,5.083,89.245,30.009,15,10,03-03-2021
145,NOLSM3891511,3,Photo,1.30273,20.397,15.097,20.001,200.197,90.001,500.839,4035.688,5015.675,5.035,90.886,30.01,15,11,03-03-2021
146,NOLSM3901512,3,Photo,1.13982,16.973,15.071,19.999,200.635,90,498.791,3939.275,5034.262,5.012,91.989,29.994,15,12,03-03-2021
147,NOLSM3911513,3,Photo,1.41837,13.518,14.992,19.993,199.632,89.999,501.137,3999.733,4981.02,5.03,93.257,30.004,15,13,03-03-2021
148,NOLSM3921514,1,Photo,0.65719,15.955,15.058,19.995,206.842,89.999,494.582,3979.526,4978.657,5.007,90.466,30.008,15,14,03-03-2021
149,NOLSM3931515,1,Photo,1.23425,15.675,14.976,19.994,202.786,90.001,503.045,4095.857,4958.651,4.905,92.047,30.001,15,15,03-03-2021
150,NOLSM3941516,2,Photo,1.27421,15.554,14.97,20.004,195.963,89.999,499.135,4043.758,4926.446,5.027,91.822,29.997,15,16,03-03-2021
151,NOLSM3951517,2,Photo,1.26436,14.521,14.928,20,198.182,90,495.303,3977.556,5105.645,5.001,91.144,30.007,15,17,03-03-2021
152,NOLSM3961518,2,Photo,1.8256,15.932,15.079,19.994,200.311,90.001,509.055,4040.937,5036.638,4.885,92.019,30.013,15,18,03-03-2021
153,NOLSM3971519,3,Photo,1.10259,12.731,14.968,19.997,200.34,90.001,505.372,4012.77,5035.87,5.037,93.691,30,15,19,03-03-2021
154,NOLSM3981520,3,Photo,1.83466,15.444,15.001,19.996,196.437,89.999,498.037,4065.392,5054.543,4.935,90.95,29.991,15,20,03-03-2021
155,NOLSM3991521,3,Photo,1.32112,11.805,15.081,20.005,199.032,89.999,496.959,4086.597,4924.687,4.915,89.285,29.998,15,21,03-03-2021
156,NOLSM4001522,1,Photo,0.43567,19.373,15.058,20.005,198.274,90.002,498.643,4080.489,5064.639,5.125,89.914,30.015,15,22,03-03-2021
157,NOLSM4011523,1,Photo,0.60662,15.465,14.84,20.001,200.855,90,498.381,4061.964,5037.031,4.973,92.887,29.998,15,23,03-03-2021
158,NOLSM4021524,1,Photo,1.24908,9.685,15.014,20.001,201.824,90,501.805,4021.992,4937.455,5.048,92.212,29.999,15,24,03-03-2021
159,NOLSM4031525,2,Photo,2.39432,17.87,14.965,20.003,196.67,90.001,501.189,3996.754,5110.695,4.996,89.499,30.012,15,25,03-03-2021
160,NOLSM4041526,2,Photo,1.11835,13.382,14.905,19.992,201.909,89.999,498.351,4074.165,4971.304,5.076,89.4,30.001,15,26,03-03-2021
161,NOLSM4051527,3,Photo,1.3273,15.965,14.968,19.996,200.435,90,501.817,4078.065,4942.679,5.037,92.228,29.998,15,27,03-03-2021
162,NOLSM406161406,1,Photo,1.39637,20.701,14.953,19.999,198.455,90,502.391,4037.819,4928.447,5.115,93.172,29.999,16,28,04-03-2021
163,NOLSM407162407,1,Photo,0.46572,11.253,15.005,20.003,202.152,90,507.183,4005.84,4988.85,5.01,92.424,29.999,16,29,04-03-2021
164,NOLSM408163408,1,Photo,1.41726,15.286,15.054,20.005,199.593,89.999,501.286,4067.541,5083.958,5.085,91.638,30.006,16,30,04-03-2021
165,NOLSM409164409,1,Photo,1.05565,12.463,14.946,19.995,201.177,90.001,503.396,4038.83,5105.011,5.112,89.341,30.003,16,31,04-03-2021
166,NOLSM410165410,1,Photo,0.89102,19.767,14.975,19.997,200.095,90,501.423,3929.441,5075.487,5.014,91.136,30.007,16,32,04-03-2021
167,NOLSM411166411,1,Photo,1.08645,16.029,15.007,20.002,207.301,89.999,501.079,4065.649,4944.126,4.912,92.423,29.994,16,33,04-03-2021
168,NOLSM412167412,1,Photo,1.4329,17.587,14.936,20.006,201.138,90,501.572,4042.392,5118.893,5.107,91.462,29.994,16,34,04-03-2021
169,NOLSM413168413,1,Photo,1.32233,16.445,15.101,19.99,199.757,90,497.102,4129.064,5013.136,4.932,90.44,30.006,16,35,04-03-2021
170,NOLSM414169414,1,Photo,1.48775,13.208,15.064,19.997,200.915,89.999,500.154,4075.078,4972.15,4.916,90.634,30.003,16,36,04-03-2021
171,NOLSM4151610415,1,Photo,1.28921,14.041,14.932,20.012,199.149,90.001,501.394,4129.907,4954.889,5.239,91.952,29.988,16,37,04-03-2021
172,NOLSM4161611416,1,Photo,1.07349,15.183,14.945,20.001,203.056,90.001,496.487,4112.212,5003.522,4.925,92.111,30.002,16,38,04-03-2021
173,NOLSM4171612417,1,Photo,1.03948,12.084,14.977,19.994,196.183,90.001,501.655,4040.97,5103.975,5.014,91.183,30.007,16,39,04-03-2021
174,NOLSM4181613418,1,Photo,1.27227,17.74,14.959,19.997,200.949,90.001,495.986,4118.935,4884.055,5.072,91.279,29.992,16,40,04-03-2021
