...1,No_Die,Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Lot_Num,Wafer_Num,Datetime
12,NOLSM3371313337,1,Implantation,1.128804e+16,-1.3141e+16,5.401109e+17,3.000265e+17,5.999993e+17,31201.477,103.231,902,158,13,40,01-03-2021
13,NOLSM3381314338,2,Implantation,1.16886e+16,1.09722e+17,4.945609e+17,2.995809e+17,5.999983e+17,31084.207,101.561,895,153,13,41,01-03-2021
14,NOLSM3391315339,3,Implantation,1.182645e+16,8.543045e+16,4.072872e+17,3.006631e+17,6.000001e+17,32253.776,102.869,904,155,13,42,01-03-2021
15,NOLSM3401316340,1,Implantation,1.418532e+16,8.728139e+16,5.933303e+17,2.998643e+17,5.999992e+17,31446.324,102.759,882,155,13,43,01-03-2021
16,NOLSM3411317341,2,Implantation,7.834453e+15,1.311202e+17,3.648882e+17,3.02517e+17,6.000005e+17,32773.392,105.126,896,150,13,44,01-03-2021
17,NOLSM3421318342,3,Implantation,1.083545e+16,3.691622e+16,5.43442e+17,2.990271e+17,5.999991e+17,31202.426,100.703,898,155,13,45,01-03-2021
18,NOLSM3431319343,1,Implantation,1.174429e+16,9.079213e+16,1.994348e+17,3.007564e+17,5.999979e+17,31661.976,101.119,891,149,13,46,01-03-2021
19,NOLSM3441320344,2,Implantation,1.34283e+16,7.751258e+16,4.481866e+17,2.989436e+17,5.999974e+17,30785.849,103.203,880,156,13,47,01-03-2021
20,NOLSM3451321345,3,Implantation,1.190138e+16,8.608349e+16,5.080817e+17,2.99005e+17,5.999981e+17,31765.567,102.207,878,156,13,48,01-03-2021
21,NOLSM3461322346,1,Implantation,1.239225e+16,1.30391e+17,2.168581e+17,3.013593e+17,6.000002e+17,30901.365,101.874,912,155,13,49,01-03-2021
22,NOLSM3471323347,2,Implantation,1.661287e+16,2.384445e+17,1.032524e+18,3.003839e+17,5.999994e+17,31877.743,101.707,914,155,13,50,01-03-2021
23,NOLSM3481324348,3,Implantation,1.149028e+16,1.091461e+17,7.62896e+17,3.001233e+17,5.99998e+17,30107.396,102.811,899,156,13,51,01-03-2021
24,NOLSM3491325349,1,Implantation,9.265878e+15,9.562897e+16,4.785895e+17,2.989266e+17,6.000004e+17,32048.247,102.598,903,157,13,52,01-03-2021
25,NOLSM3501326350,2,Implantation,1.882341e+16,1.529871e+16,7.907507e+17,3.001276e+17,6.000008e+17,31221.028,104.234,879,155,13,53,01-03-2021
26,NOLSM3511327351,3,Implantation,7.19569e+15,1.300081e+17,5.991229e+17,3.003763e+17,6.000003e+17,31645.163,100.57,890,157,13,54,01-03-2021
27,NOLSM325131,1,Implantation,1.500198e+16,1.316363e+17,6.468338e+17,3.011187e+17,6.000012e+17,30795.934,103.433,854,154,13,1,01-03-2021
28,NOLSM326132,1,Implantation,1.105654e+16,4.367509e+16,1.041399e+18,3.026639e+17,6.000008e+17,32135.618,105.552,895,156,13,2,01-03-2021
29,NOLSM327133,2,Implantation,1.044283e+16,1.507393e+16,6.473188e+17,2.983347e+17,5.999989e+17,31057.895,102.598,898,152,13,3,01-03-2021
30,NOLSM328134,3,Implantation,8.885135e+15,1.022922e+17,3.408444e+17,2.999225e+17,5.999997e+17,32140.566,102.963,879,155,13,4,01-03-2021
31,NOLSM329135,3,Implantation,1.665762e+16,7.883038e+16,7.255226e+17,3.018136e+17,6.000004e+17,31986.009,101.419,882,155,13,5,01-03-2021
32,NOLSM330136,2,Implantation,1.132187e+16,8.124183e+16,3.266156e+17,2.99357e+17,5.999966e+17,31982.632,103.847,871,152,13,6,01-03-2021
33,NOLSM331137,1,Implantation,1.13077e+16,1.162764e+17,9.131414e+17,2.989981e+17,5.99999e+17,32499.229,102.84,916,157,13,7,01-03-2021
34,NOLSM332138,1,Implantation,1.12157e+16,7.201297e+16,5.016916e+17,3.001836e+17,5.999995e+17,32016.39,104.368,891,153,13,8,01-03-2021
35,NOLSM333139,2,Implantation,1.45158e+16,6.475248e+16,-8.78959e+15,3.013753e+17,6.000017e+17,31810.414,103.625,903,153,13,9,01-03-2021
36,NOLSM3341310,3,Implantation,1.056055e+16,8.537015e+16,7.988779e+17,3.000877e+17,6.000019e+17,31969.699,102.847,883,161,13,10,01-03-2021
37,NOLSM3351311,3,Implantation,1.528031e+16,1.009711e+17,4.93944e+17,2.99861e+17,5.999992e+17,31419.868,103.298,862,154,13,11,01-03-2021
38,NOLSM3361312,2,Implantation,1.062094e+16,1.62719e+17,2.201666e+17,3.025094e+17,6.000003e+17,31196.102,104.54,892,154,13,12,01-03-2021
39,NOLSM3371313,1,Implantation,1.128804e+16,-1.3141e+16,5.401109e+17,3.000265e+17,5.999993e+17,31201.477,103.231,902,158,13,13,01-03-2021
40,NOLSM3381314,1,Implantation,1.16886e+16,1.09722e+17,4.945609e+17,2.995809e+17,5.999983e+17,31084.207,101.561,895,153,13,14,01-03-2021
41,NOLSM3391315,2,Implantation,1.182645e+16,8.543045e+16,4.072872e+17,3.006631e+17,6.000001e+17,32253.776,102.869,904,155,13,15,01-03-2021
42,NOLSM3401316,3,Implantation,1.418532e+16,8.728139e+16,5.933303e+17,2.998643e+17,5.999992e+17,31446.324,102.759,882,155,13,16,01-03-2021
43,NOLSM3411317,3,Implantation,7.834453e+15,1.311202e+17,3.648882e+17,3.02517e+17,6.000005e+17,32773.392,105.126,896,150,13,17,01-03-2021
44,NOLSM3421318,2,Implantation,1.083545e+16,3.691622e+16,5.43442e+17,2.990271e+17,5.999991e+17,31202.426,100.703,898,155,13,18,01-03-2021
45,NOLSM3431319,1,Implantation,1.174429e+16,9.079213e+16,1.994348e+17,3.007564e+17,5.999979e+17,31661.976,101.119,891,149,13,19,01-03-2021
46,NOLSM3441320,1,Implantation,1.34283e+16,7.751258e+16,4.481866e+17,2.989436e+17,5.999974e+17,30785.849,103.203,880,156,13,20,01-03-2021
47,NOLSM3451321,3,Implantation,1.190138e+16,8.608349e+16,5.080817e+17,2.99005e+17,5.999981e+17,31765.567,102.207,878,156,13,21,01-03-2021
48,NOLSM3461322,3,Implantation,1.239225e+16,1.30391e+17,2.168581e+17,3.013593e+17,6.000002e+17,30901.365,101.874,912,155,13,22,01-03-2021
49,NOLSM3471323,2,Implantation,1.661287e+16,2.384445e+17,1.032524e+18,3.003839e+17,5.999994e+17,31877.743,101.707,914,155,13,23,01-03-2021
50,NOLSM3481324,1,Implantation,1.149028e+16,1.091461e+17,7.62896e+17,3.001233e+17,5.99998e+17,30107.396,102.811,899,156,13,24,01-03-2021
51,NOLSM3491325,1,Implantation,9.265878e+15,9.562897e+16,4.785895e+17,2.989266e+17,6.000004e+17,32048.247,102.598,903,157,13,25,01-03-2021
52,NOLSM3501326,2,Implantation,1.882341e+16,1.529871e+16,7.907507e+17,3.001276e+17,6.000008e+17,31221.028,104.234,879,155,13,26,01-03-2021
53,NOLSM3511327,3,Implantation,7.19569e+15,1.300081e+17,5.991229e+17,3.003763e+17,6.000003e+17,31645.163,100.57,890,157,13,27,01-03-2021
54,NOLSM352141352,1,Implantation,1.091276e+16,-4.11794e+16,9.735337e+17,3.03009e+17,5.999988e+17,31292.665,100.718,899,151,14,28,02-03-2021
55,NOLSM353142353,2,Implantation,1.136999e+16,7.247724e+16,8.049362e+17,2.992664e+17,6.000001e+17,32015.142,103.175,874,155,14,29,02-03-2021
56,NOLSM354143354,3,Implantation,1.620407e+16,8.581908e+16,4.528298e+17,3.006626e+17,5.999993e+17,30828.379,102.963,882,158,14,30,02-03-2021
57,NOLSM355144355,1,Implantation,1.244473e+16,1.499699e+17,3.595326e+17,2.987755e+17,5.999997e+17,32525.804,102.767,926,156,14,31,02-03-2021
58,NOLSM356145356,2,Implantation,1.540054e+16,4.303975e+16,5.932138e+17,3.017596e+17,5.999991e+17,31584.1,102.448,925,156,14,32,02-03-2021
59,NOLSM357146357,3,Implantation,1.649968e+16,1.263119e+17,8.119801e+17,2.999841e+17,5.999991e+17,31743.858,104.18,914,156,14,33,02-03-2021
60,NOLSM358147358,1,Implantation,7.24055e+15,1.962224e+17,5.409661e+17,2.963401e+17,6.000004e+17,32590.44,106.173,915,154,14,34,02-03-2021
61,NOLSM359148359,2,Implantation,9.912448e+15,6.097084e+16,1.657218e+17,3.02399e+17,5.999988e+17,32202.196,103.67,882,153,14,35,02-03-2021
62,NOLSM360149360,3,Implantation,1.376004e+16,1.089591e+17,7.015454e+17,3.004404e+17,6.000006e+17,31167.976,104.326,888,159,14,36,02-03-2021
63,NOLSM3611410361,1,Implantation,1.792709e+16,8.56551e+16,6.041821e+17,3.003981e+17,6.000003e+17,30598.176,102.716,860,155,14,37,02-03-2021
64,NOLSM3621411362,2,Implantation,1.07259e+16,9.568327e+16,2.489806e+17,3.006358e+17,6.000004e+17,32095.533,103.37,902,155,14,38,02-03-2021
65,NOLSM3631412363,3,Implantation,1.436297e+16,5.219737e+16,9.276569e+17,2.985788e+17,5.999988e+17,31074.084,101.302,893,155,14,39,02-03-2021
66,NOLSM3641413364,1,Implantation,1.004187e+16,1.306497e+17,6.994751e+17,2.999168e+17,6.000003e+17,31732.45,104.196,912,153,14,40,02-03-2021
67,NOLSM3651414365,2,Implantation,8.189794e+15,7.541628e+16,8.469825e+17,2.989893e+17,5.999999e+17,31559.581,101.5,909,154,14,41,02-03-2021
68,NOLSM3661415366,3,Implantation,8.243736e+15,1.243463e+16,8.480794e+17,3.00072e+17,5.999997e+17,31251.253,101.809,906,155,14,42,02-03-2021
69,NOLSM3671416367,1,Implantation,8.267961e+15,7.794628e+16,5.9204e+17,3.002804e+17,6e+17,31364.131,103.785,906,155,14,43,02-03-2021
70,NOLSM3681417368,2,Implantation,1.217452e+16,1.130444e+17,8.249929e+17,3.003181e+17,5.99999e+17,32166.592,102.54,911,153,14,44,02-03-2021
71,NOLSM3691418369,3,Implantation,1.176343e+16,1.144573e+17,4.725295e+17,2.990905e+17,5.999992e+17,32602.428,104.079,917,160,14,45,02-03-2021
72,NOLSM3701419370,1,Implantation,6.747512e+15,9.893539e+16,2.112254e+17,2.995297e+17,5.999997e+17,31126.822,103.831,894,156,14,46,02-03-2021
73,NOLSM3711420371,2,Implantation,1.490109e+16,3.520983e+16,4.270336e+17,3.008829e+17,6.000021e+17,31795.543,104.113,875,154,14,47,02-03-2021
74,NOLSM3721421372,3,Implantation,6.749139e+15,1.0833e+17,6.21584e+17,3.010697e+17,5.999977e+17,31209.028,103.854,884,156,14,48,02-03-2021
75,NOLSM3731422373,1,Implantation,2.984483e+15,8.42697e+16,6.478632e+17,3.014628e+17,5.999997e+17,30954.031,99.555,895,155,14,49,02-03-2021
76,NOLSM3741423374,2,Implantation,1.581196e+16,9.950344e+16,3.070465e+17,3.022948e+17,5.999988e+17,31265.102,101.988,916,150,14,50,02-03-2021
77,NOLSM3751424375,3,Implantation,6.412499e+15,5.498729e+15,4.504817e+17,2.99305e+17,5.999985e+17,32267.154,104.109,907,155,14,51,02-03-2021
78,NOLSM3761425376,1,Implantation,1.540944e+16,5.379989e+16,2.174705e+17,3.025131e+17,5.999979e+17,31799.934,104.071,917,150,14,52,02-03-2021
79,NOLSM3771426377,2,Implantation,1.226493e+16,8.839359e+16,6.373524e+17,2.993842e+17,6.000006e+17,32222.227,104.658,893,157,14,53,02-03-2021
80,NOLSM3781427378,3,Implantation,3.410275e+15,1.258597e+17,6.61313e+17,3.014685e+17,5.999987e+17,32130.349,102.474,900,157,14,54,02-03-2021
81,NOLSM352141,3,Implantation,1.091276e+16,-4.11794e+16,9.735337e+17,3.03009e+17,5.999988e+17,31292.665,100.718,899,151,14,1,02-03-2021
82,NOLSM353142,2,Implantation,1.136999e+16,7.247724e+16,8.049362e+17,2.992664e+17,6.000001e+17,32015.142,103.175,874,155,14,2,02-03-2021
83,NOLSM354143,1,Implantation,1.620407e+16,8.581908e+16,4.528298e+17,3.006626e+17,5.999993e+17,30828.379,102.963,882,158,14,3,02-03-2021
84,NOLSM355144,1,Implantation,1.244473e+16,1.499699e+17,3.595326e+17,2.987755e+17,5.999997e+17,32525.804,102.767,926,156,14,4,02-03-2021
85,NOLSM356145,2,Implantation,1.540054e+16,4.303975e+16,5.932138e+17,3.017596e+17,5.999991e+17,31584.1,102.448,925,156,14,5,02-03-2021
86,NOLSM357146,3,Implantation,1.649968e+16,1.263119e+17,8.119801e+17,2.999841e+17,5.999991e+17,31743.858,104.18,914,156,14,6,02-03-2021
87,NOLSM358147,2,Implantation,7.24055e+15,1.962224e+17,5.409661e+17,2.963401e+17,6.000004e+17,32590.44,106.173,915,154,14,7,02-03-2021
88,NOLSM359148,1,Implantation,9.912448e+15,6.097084e+16,1.657218e+17,3.02399e+17,5.999988e+17,32202.196,103.67,882,153,14,8,02-03-2021
89,NOLSM360149,1,Implantation,1.376004e+16,1.089591e+17,7.015454e+17,3.004404e+17,6.000006e+17,31167.976,104.326,888,159,14,9,02-03-2021
90,NOLSM3611410,2,Implantation,1.792709e+16,8.56551e+16,6.041821e+17,3.003981e+17,6.000003e+17,30598.176,102.716,860,155,14,10,02-03-2021
91,NOLSM3621411,3,Implantation,1.07259e+16,9.568327e+16,2.489806e+17,3.006358e+17,6.000004e+17,32095.533,103.37,902,155,14,11,02-03-2021
92,NOLSM3631412,3,Implantation,1.436297e+16,5.219737e+16,9.276569e+17,2.985788e+17,5.999988e+17,31074.084,101.302,893,155,14,12,02-03-2021
93,NOLSM3641413,2,Implantation,1.004187e+16,1.306497e+17,6.994751e+17,2.999168e+17,6.000003e+17,31732.45,104.196,912,153,14,13,02-03-2021
94,NOLSM3651414,1,Implantation,8.189794e+15,7.541628e+16,8.469825e+17,2.989893e+17,5.999999e+17,31559.581,101.5,909,154,14,14,02-03-2021
95,NOLSM3661415,1,Implantation,8.243736e+15,1.243463e+16,8.480794e+17,3.00072e+17,5.999997e+17,31251.253,101.809,906,155,14,15,02-03-2021
96,NOLSM3671416,2,Implantation,8.267961e+15,7.794628e+16,5.9204e+17,3.002804e+17,6e+17,31364.131,103.785,906,155,14,16,02-03-2021
97,NOLSM3681417,3,Implantation,1.217452e+16,1.130444e+17,8.249929e+17,3.003181e+17,5.99999e+17,32166.592,102.54,911,153,14,17,02-03-2021
98,NOLSM3691418,3,Implantation,1.176343e+16,1.144573e+17,4.725295e+17,2.990905e+17,5.999992e+17,32602.428,104.079,917,160,14,18,02-03-2021
99,NOLSM3701419,2,Implantation,6.747512e+15,9.893539e+16,2.112254e+17,2.995297e+17,5.999997e+17,31126.822,103.831,894,156,14,19,02-03-2021
100,NOLSM3711420,1,Implantation,1.490109e+16,3.520983e+16,4.270336e+17,3.008829e+17,6.000021e+17,31795.543,104.113,875,154,14,20,02-03-2021
101,NOLSM3721421,1,Implantation,6.749139e+15,1.0833e+17,6.21584e+17,3.010697e+17,5.999977e+17,31209.028,103.854,884,156,14,21,02-03-2021
102,NOLSM3731422,2,Implantation,2.984483e+15,8.42697e+16,6.478632e+17,3.014628e+17,5.999997e+17,30954.031,99.555,895,155,14,22,02-03-2021
103,NOLSM3741423,3,Implantation,1.581196e+16,9.950344e+16,3.070465e+17,3.022948e+17,5.999988e+17,31265.102,101.988,916,150,14,23,02-03-2021
104,NOLSM3751424,1,Implantation,6.412499e+15,5.498729e+15,4.504817e+17,2.99305e+17,5.999985e+17,32267.154,104.109,907,155,14,24,02-03-2021
105,NOLSM3761425,1,Implantation,1.540944e+16,5.379989e+16,2.174705e+17,3.025131e+17,5.999979e+17,31799.934,104.071,917,150,14,25,02-03-2021
106,NOLSM3771426,2,Implantation,1.226493e+16,8.839359e+16,6.373524e+17,2.993842e+17,6.000006e+17,32222.227,104.658,893,157,14,26,02-03-2021
107,NOLSM3781427,3,Implantation,3.410275e+15,1.258597e+17,6.61313e+17,3.014685e+17,5.999987e+17,32130.349,102.474,900,157,14,27,02-03-2021
108,NOLSM379151379,1,Implantation,2.880388e+15,-1.19562e+16,5.215246e+17,3.006671e+17,5.999992e+17,32241.562,102.059,912,156,15,28,03-03-2021
109,NOLSM380152380,2,Implantation,8.14384e+15,1.646376e+17,2.535079e+17,3.006398e+17,5.999999e+17,32695.351,100.52,893,158,15,29,03-03-2021
110,NOLSM381153381,3,Implantation,1.416747e+16,9.768423e+16,3.158035e+17,2.990584e+17,6e+17,32457.98,103.259,894,152,15,30,03-03-2021
111,NOLSM382154382,1,Implantation,1.227945e+16,9.697936e+16,3.208202e+17,3.005956e+17,6.000005e+17,32385.463,100.834,901,155,15,31,03-03-2021
112,NOLSM383155383,2,Implantation,1.78281e+16,6.637699e+16,6.577057e+17,3.001938e+17,5.999998e+17,32928.823,104.711,885,153,15,32,03-03-2021
113,NOLSM384156384,3,Implantation,5.990395e+15,1.352964e+17,1.141639e+18,2.985401e+17,6.000006e+17,32507.472,103.749,907,153,15,33,03-03-2021
114,NOLSM385157385,1,Implantation,9.964673e+15,5.893998e+16,6.866564e+17,3.009917e+17,5.999988e+17,31557.692,99.555,897,154,15,34,03-03-2021
115,NOLSM386158386,2,Implantation,7.058287e+15,1.190879e+17,5.25515e+17,2.998555e+17,6.000005e+17,32314.849,102.377,916,153,15,35,03-03-2021
116,NOLSM387159387,3,Implantation,1.169855e+16,5.232629e+16,5.983195e+17,3.012545e+17,6.000003e+17,32704.56,104.585,911,153,15,36,03-03-2021
117,NOLSM3881510388,1,Implantation,8.723706e+15,1.377158e+17,3.739e+17,3.012983e+17,5.999975e+17,32148.267,104.398,896,158,15,37,03-03-2021
118,NOLSM3891511389,2,Implantation,1.153345e+16,1.519095e+17,4.575777e+17,2.9976e+17,5.99999e+17,32153.409,102.027,911,156,15,38,03-03-2021
119,NOLSM3901512390,3,Implantation,1.461353e+16,2.6917e+16,6.043016e+17,2.999889e+17,6.000001e+17,32034.212,107.376,878,156,15,39,03-03-2021
120,NOLSM3911513391,1,Implantation,9.501467e+15,1.144955e+17,4.294682e+17,3.034721e+17,5.999986e+17,30966.612,105.285,903,152,15,40,03-03-2021
121,NOLSM3921514392,2,Implantation,1.107739e+16,1.4618e+17,3.773208e+17,2.997643e+17,5.999987e+17,31509.217,104.176,884,154,15,41,03-03-2021
122,NOLSM3931515393,3,Implantation,1.152554e+16,9.129872e+16,4.820917e+17,3.033582e+17,6.000011e+17,31497.31,105.043,906,152,15,42,03-03-2021
123,NOLSM3941516394,1,Implantation,2.011364e+16,1.577883e+17,5.615168e+17,3.005175e+17,5.999996e+17,30883.8,100.728,906,150,15,43,03-03-2021
124,NOLSM3951517395,2,Implantation,7.29512e+15,1.794887e+17,3.308587e+17,2.997437e+17,6e+17,32548.685,101.805,913,153,15,44,03-03-2021
125,NOLSM3961518396,3,Implantation,1.337823e+16,8.037859e+16,3.524617e+17,3.007609e+17,5.999969e+17,32096.824,102.901,889,154,15,45,03-03-2021
126,NOLSM3971519397,1,Implantation,8.715719e+15,5.58304e+16,4.216451e+17,3.000895e+17,5.999999e+17,31876.775,103.409,900,156,15,46,03-03-2021
127,NOLSM3981520398,2,Implantation,1.615749e+16,5.103231e+16,4.599687e+17,2.987991e+17,5.999988e+17,31373.265,103.899,911,154,15,47,03-03-2021
128,NOLSM3991521399,3,Implantation,1.0832e+16,7.93293e+16,4.799026e+17,2.98364e+17,5.999987e+17,32270.885,102.841,903,157,15,48,03-03-2021
129,NOLSM4001522400,1,Implantation,1.436037e+16,1.289469e+17,6.718541e+17,2.989985e+17,5.999997e+17,32062.372,104.328,885,152,15,49,03-03-2021
130,NOLSM4011523401,2,Implantation,1.734001e+16,9.952238e+16,-6.118e+16,3.00245e+17,5.999995e+17,32374.895,104.18,898,155,15,50,03-03-2021
131,NOLSM4021524402,3,Implantation,8.720687e+15,1.002565e+17,6.541431e+17,2.98146e+17,5.999986e+17,31438.723,104.829,908,148,15,51,03-03-2021
132,NOLSM4031525403,1,Implantation,7.304338e+15,1.132868e+17,6.124576e+17,3.002157e+17,6.000008e+17,32297.342,102.555,893,152,15,52,03-03-2021
133,NOLSM4041526404,2,Implantation,1.818099e+16,6.315329e+16,6.904119e+17,3.006478e+17,6.000012e+17,31153.753,103.587,927,154,15,53,03-03-2021
134,NOLSM4051527405,3,Implantation,1.300995e+16,1.49476e+17,6.139864e+17,3.024165e+17,6.000002e+17,32181.305,104.43,906,156,15,54,03-03-2021
135,NOLSM379151,3,Implantation,2.880388e+15,-1.19562e+16,5.215246e+17,3.006671e+17,5.999992e+17,32241.562,102.059,912,156,15,1,03-03-2021
136,NOLSM380152,2,Implantation,8.14384e+15,1.646376e+17,2.535079e+17,3.006398e+17,5.999999e+17,32695.351,100.52,893,158,15,2,03-03-2021
137,NOLSM381153,1,Implantation,1.416747e+16,9.768423e+16,3.158035e+17,2.990584e+17,6e+17,32457.98,103.259,894,152,15,3,03-03-2021
138,NOLSM382154,1,Implantation,1.227945e+16,9.697936e+16,3.208202e+17,3.005956e+17,6.000005e+17,32385.463,100.834,901,155,15,4,03-03-2021
139,NOLSM383155,3,Implantation,1.78281e+16,6.637699e+16,6.577057e+17,3.001938e+17,5.999998e+17,32928.823,104.711,885,153,15,5,03-03-2021
140,NOLSM384156,3,Implantation,5.990395e+15,1.352964e+17,1.141639e+18,2.985401e+17,6.000006e+17,32507.472,103.749,907,153,15,6,03-03-2021
141,NOLSM385157,1,Implantation,9.964673e+15,5.893998e+16,6.866564e+17,3.009917e+17,5.999988e+17,31557.692,99.555,897,154,15,7,03-03-2021
142,NOLSM386158,1,Implantation,7.058287e+15,1.190879e+17,5.25515e+17,2.998555e+17,6.000005e+17,32314.849,102.377,916,153,15,8,03-03-2021
143,NOLSM387159,2,Implantation,1.169855e+16,5.232629e+16,5.983195e+17,3.012545e+17,6.000003e+17,32704.56,104.585,911,153,15,9,03-03-2021
144,NOLSM3881510,3,Implantation,8.723706e+15,1.377158e+17,3.739e+17,3.012983e+17,5.999975e+17,32148.267,104.398,896,158,15,10,03-03-2021
145,NOLSM3891511,3,Implantation,1.153345e+16,1.519095e+17,4.575777e+17,2.9976e+17,5.99999e+17,32153.409,102.027,911,156,15,11,03-03-2021
146,NOLSM3901512,2,Implantation,1.461353e+16,2.6917e+16,6.043016e+17,2.999889e+17,6.000001e+17,32034.212,107.376,878,156,15,12,03-03-2021
147,NOLSM3911513,1,Implantation,9.501467e+15,1.144955e+17,4.294682e+17,3.034721e+17,5.999986e+17,30966.612,105.285,903,152,15,13,03-03-2021
148,NOLSM3921514,1,Implantation,1.107739e+16,1.4618e+17,3.773208e+17,2.997643e+17,5.999987e+17,31509.217,104.176,884,154,15,14,03-03-2021
149,NOLSM3931515,3,Implantation,1.152554e+16,9.129872e+16,4.820917e+17,3.033582e+17,6.000011e+17,31497.31,105.043,906,152,15,15,03-03-2021
150,NOLSM3941516,3,Implantation,2.011364e+16,1.577883e+17,5.615168e+17,3.005175e+17,5.999996e+17,30883.8,100.728,906,150,15,16,03-03-2021
151,NOLSM3951517,2,Implantation,7.29512e+15,1.794887e+17,3.308587e+17,2.997437e+17,6e+17,32548.685,101.805,913,153,15,17,03-03-2021
152,NOLSM3961518,1,Implantation,1.337823e+16,8.037859e+16,3.524617e+17,3.007609e+17,5.999969e+17,32096.824,102.901,889,154,15,18,03-03-2021
153,NOLSM3971519,1,Implantation,8.715719e+15,5.58304e+16,4.216451e+17,3.000895e+17,5.999999e+17,31876.775,103.409,900,156,15,19,03-03-2021
154,NOLSM3981520,2,Implantation,1.615749e+16,5.103231e+16,4.599687e+17,2.987991e+17,5.999988e+17,31373.265,103.899,911,154,15,20,03-03-2021
155,NOLSM3991521,3,Implantation,1.0832e+16,7.93293e+16,4.799026e+17,2.98364e+17,5.999987e+17,32270.885,102.841,903,157,15,21,03-03-2021
156,NOLSM4001522,3,Implantation,1.436037e+16,1.289469e+17,6.718541e+17,2.989985e+17,5.999997e+17,32062.372,104.328,885,152,15,22,03-03-2021
157,NOLSM4011523,2,Implantation,1.734001e+16,9.952238e+16,-6.118e+16,3.00245e+17,5.999995e+17,32374.895,104.18,898,155,15,23,03-03-2021
158,NOLSM4021524,1,Implantation,8.720687e+15,1.002565e+17,6.541431e+17,2.98146e+17,5.999986e+17,31438.723,104.829,908,148,15,24,03-03-2021
159,NOLSM4031525,1,Implantation,7.304338e+15,1.132868e+17,6.124576e+17,3.002157e+17,6.000008e+17,32297.342,102.555,893,152,15,25,03-03-2021
160,NOLSM4041526,3,Implantation,1.818099e+16,6.315329e+16,6.904119e+17,3.006478e+17,6.000012e+17,31153.753,103.587,927,154,15,26,03-03-2021
161,NOLSM4051527,3,Implantation,1.300995e+16,1.49476e+17,6.139864e+17,3.024165e+17,6.000002e+17,32181.305,104.43,906,156,15,27,03-03-2021
162,NOLSM406161406,1,Implantation,5.169398e+15,1.708637e+16,7.528468e+17,2.999035e+17,5.999968e+17,31639.318,103.843,902,155,16,28,04-03-2021
163,NOLSM407162407,2,Implantation,1.302772e+16,1.833304e+17,3.864962e+17,3.013709e+17,6.000013e+17,31468.269,102.597,923,153,16,29,04-03-2021
164,NOLSM408163408,3,Implantation,1.611976e+16,7.848036e+16,9.667111e+17,2.995905e+17,6.000001e+17,30906.701,104.338,910,149,16,30,04-03-2021
165,NOLSM409164409,1,Implantation,9.419114e+15,1.804231e+17,4.592458e+17,3.021294e+17,5.999989e+17,31668.747,104.576,919,157,16,31,04-03-2021
166,NOLSM410165410,2,Implantation,3.162772e+15,5.032726e+16,1.046821e+18,3.005387e+17,5.999986e+17,30876.21,103.354,881,154,16,32,04-03-2021
167,NOLSM411166411,3,Implantation,1.258509e+16,2.396831e+16,7.290625e+17,3.007916e+17,5.999997e+17,32023.057,103.827,871,154,16,33,04-03-2021
